initial;code;name
B;748;Bot
B;749;Both
B;751;Bott
B;752;Bou
B;753;Bouche
B;754;Bouchi
B;755;Boucho
B;756;Boud
B;757;Bouf
B;758;Boug
B;759;Bouh
B;761;Boui
B;762;Bouil
B;763;Boul
B;764;Boull
B;765;Boun
B;766;Bour
B;767;Bourc
B;768;Bourd
B;769;Bourdi
B;771;Boure
B;772;Bourg
B;773;Bourgo
B;774;Bouri
B;775;Bourn
B;776;Bourr
B;777;Bous
B;778;Bout
B;779;Bouth
B;781;Bouto
B;782;Bouv
B;783;Bov
B;784;Bow
B;785;Bowdi
B;786;Bowe
B;787;Bowl
B;788;Bowr
B;789;Boy
B;791;Boye
B;792;Boyl
B;793;Boys
B;794;Br
B;795;Brab
B;796;Brac
B;797;Brack
B;798;Brad
B;799;Bradf
B;811;Bradl
B;812;Brads
B;813;Brag
B;814;Brai
B;815;Bram
B;816;Bran
B;817;Brand
B;818;Brandi
B;819;Brando
B;821;Brandt
B;822;Brar
B;823;Bras
B;824;Brat
B;825;Brau
B;826;Brav
B;827;Bray
B;828;Bre
B;829;Brec
B;831;Bred
B;832;Bree
B;833;Breg
B;834;Breh
B;835;Brei
B;836;Brem
B;837;Bren
B;838;Brenn
B;839;Brent
B;841;Brer
B;842;Bres
B;843;Bress
B;844;Bret
B;845;Brett
B;846;Breu
B;847;Brew
B;848;Brews
B;849;Bri
B;851;Brid
B;852;Bridgm
B;853;Brie
B;854;Brig
B;855;Brigh
B;856;Brighto
B;857;Bril
B;858;Brin
B;859;Bris
B;861;Brist
B;862;Brit
B;863;Bro
B;864;Brock
B;865;Broe
B;866;Brog
B;867;Brok
B;868;Brom
B;869;Bron
B;871;Broo
B;872;Brooke
B;873;Brooks
B;874;Bros
B;875;Brou
B;876;Brous
B;877;Brow
B;878;Brown, H.
B;879;Brown, M.
B;881;Brown, T.
B;882;Browne
B;883;Browne, M.
B;884;Browne, S.
B;885;Browni
B;886;Bru
B;887;Bruce, J.
B;888;Bruck
B;889;Brue
B;891;Brug
B;892;Bruh
B;893;Brum
B;894;Brun
B;895;Brunet
B;896;Bruni
B;897;Brunn
B;898;Bruno
B;899;Bruns
B;911;Brunsw
B;912;Brus
B;913;Brut
B;914;Bruy
B;915;Bry
B;916;Bryc
B;917;Bu
B;918;Buc
B;919;Buche
B;921;Bucho
B;922;Buck
B;923;Bucki
B;924;Buckl
B;925;Buckm
B;926;Bucks
B;927;Bud
B;928;Bue
B;929;Buf
B;931;Bug
B;932;Bui
B;933;Bul
B;934;Bulk
B;935;Bull
B;936;Bulle
B;937;Bulli
B;938;Bullo
B;939;Bulo
B;941;Bulw
B;942;Bun
B;943;Buo
B;944;Buoni
B;945;Bur
B;946;Burb
B;947;Burc
B;948;Burck
B;949;Burd
B;951;Burdet
B;952;Bure
B;953;Burf
B;954;Burg
B;955;Burges
B;956;Burgh
B;957;Burgo
B;958;Burh
B;959;Burk
B;961;Burl
B;962;Burm
B;963;Burn
B;964;Burnet
B;965;Burney
B;966;Burnh
B;967;Burns
B;968;Burr
B;969;Burre
B;971;Burri
B;972;Burro
B;973;Burt
B;974;Burto
B;975;Bury
B;976;Bus
B;977;Busch
B;978;Bush
B;979;Bushn
B;981;Buss
B;982;Bust
B;983;But
B;984;Buti
B;985;Butl
B;986;Butler, M.
B;987;Butler, T.
B;988;Butt
B;989;Butto
B;991;Bux
B;992;Buy
B;993;By
B;994;Byn
B;995;Byr
B;996;Byro
B;997;Bys
B;998;Byt
B;999;Bz
C;111;Ca
C;112;Cab
C;113;Cabas
C;114;Cabe
C;115;Cabi
C;116;Cabo
C;117;Cabr
C;118;Cac
C;119;Cach
C;121;Cad
C;122;Cade
C;123;Cadet
C;124;Cadi
C;125;Cado
C;126;Cadr
C;127;Cae
C;128;Caes
C;129;Caf
C;131;Cag
C;132;Cah
C;133;Cai
C;134;Cail
C;135;Cain
C;136;Cair
C;137;Cais
C;138;Caiu
C;139;Caj
C;141;Cal
C;142;Calan
C;143;Calas
C;144;Calc
C;145;Cald
C;146;Calde
C;147;Caldw
C;148;Cale
C;149;Calen
C;151;Calf
C;152;Calh
C;153;Cali
C;154;Calin
C;155;Calk
C;156;Call
C;157;Calle
C;158;Calli
C;159;Callim
C;161;Callin
C;162;Callis
C;163;Callo
C;164;Calm
C;165;Calo
C;166;Calt
C;167;Calv
C;168;Calvi
C;169;Calvo
C;171;Calz
C;172;Cam
C;173;Camas
C;174;Camb
C;175;Cambi
C;176;Cambo
C;177;Cambr
C;178;Cambri
C;179;Camd
C;181;Came
C;182;Camer
C;183;Cami
C;184;Camm
C;185;Camo
C;186;Camp
C;187;Campbell
C;188;Campbell, H.
C;189;Campbell, M.
C;191;Campbell, S.
C;192;Campbell, W.
C;193;Campe
C;194;Campen
C;195;Camper
C;196;Campi
C;197;Campis
C;198;Campo
C;199;Campr
C;211;Camu
C;212;Can
C;213;Canan
C;214;Canb
C;215;Canc
C;216;Cand
C;217;Candi
C;218;Candl
C;219;Cando
C;221;Cane
C;222;Canf
C;223;Cani
C;224;Cann
C;225;Canni
C;226;Canno
C;227;Cano
C;228;Cans
C;229;Cant
C;231;Canti
C;232;Canto
C;233;Cantr
C;234;Cantw
C;235;Canu
C;236;Cap
C;237;Cape
C;238;Capel
C;239;Capen
C;241;Capet
C;242;Capg
C;243;Capi
C;244;Capit
C;245;Capo
C;246;Capon
C;247;Capp
C;248;Capper
C;249;Cappo
C;251;Capr
C;252;Capre
C;253;Capri
C;254;Capro
C;255;Capu
C;256;Caq
C;257;Car
C;258;Caraf
C;259;Caram
C;261;Caran
C;262;Carat
C;263;Carb
C;264;Carbo
C;265;Carc
C;266;Card
C;267;Cardi
C;268;Cardo
C;269;Cardw
C;271;Care
C;272;Carew
C;273;Carey
C;274;Carey, H.
C;275;Carey, M.
C;276;Carey, S.
C;277;Cari
C;278;Carl
C;279;Carlet
C;281;Carleton
C;282;Carli
C;283;Carlis
C;284;Carlo
C;285;Carlt
C;286;Carly
C;287;Carm
C;288;Carn
C;289;Carne
C;291;Carno
C;292;Caro
C;293;Caron
C;294;Carp
C;295;Carpenter
C;296;Carpenter, L.
C;297;Carpenter, S.
C;298;Carpi
C;299;Carpo
C;311;Carr
C;312;Carr, M.
C;313;Carrar
C;314;Carre
C;315;Carret
C;316;Carri
C;317;Carril
C;318;Carrin
C;319;Carro
C;321;Cars
C;322;Cart
C;323;Carter
C;324;Carter, L.
C;325;Carter, S.
C;326;Carth
C;327;Carti
C;328;Carto
C;329;Cartw
C;331;Carv
C;332;Cary
C;333;Cary, M.
C;334;Cas
